"merchant","correlation","rank","selected"
"merchant_Revilogames_7131",0.114821151149918,408,FALSE
"merchant_Tennis_360_10044",0.114765599099745,409,FALSE
"merchant_Aphotetic_Co_R_4782",0.114607753755486,410,FALSE
"merchant_Savedi_Perfumeria_fina_10900",0.114127724476,411,FALSE
"merchant_Grupo_Ikhal_5557",0.114027461548704,412,FALSE
"merchant_Fila_8071",0.114016185315089,413,FALSE
"merchant_Soy_Barber_10348",0.113947366523385,414,FALSE
"merchant_You_Matter_10396",0.112867775893461,415,FALSE
"merchant_Justin_Boots_M_exico_4841",0.112715480362753,416,FALSE
"merchant_Commons_8241",0.11206855250575,417,FALSE
"merchant_Beautiful_Brows_and_Lashes_7534",0.111801132598288,418,FALSE
"merchant_Pulaski_Shoes_11249",0.111535275157496,419,FALSE
"merchant_LUXURY_FRAGANCES_10974",0.111387851425243,420,FALSE
"merchant_Viaconti_10571",0.111317360540515,421,FALSE
"merchant_Real_Skate_Shop_10885",0.111317360540514,422,FALSE
"merchant_Rubi_Perfumeria_6786",0.111249711156062,423,FALSE
"merchant_To_Shop_5507",0.111194918818272,424,FALSE
"merchant_ALVA_MEXICO_3142",0.111194918818272,425,FALSE
"merchant_Chikara_Toys_556",0.110827954330324,426,FALSE
"merchant_1minpretty_7884",0.110817341714757,427,FALSE
"merchant_Losoyas_Dress_4453",0.110346102134949,428,FALSE
"merchant_Milo_Perfumeria_5249",0.110284917466235,429,FALSE
"merchant_PORTE_10237",0.110170054049152,430,FALSE
"merchant_CHOVA_tenis_10402",0.109550503351937,431,FALSE
"merchant_Tienda_en_linea_de_accesorios_para_caballero_333",0.109436709506098,432,FALSE
"merchant_I_Love_Shape_11053",0.109346937479051,433,FALSE
"merchant_Korean_Code_82_10507",0.109346937479051,434,FALSE
"merchant_Bolsas_Mayoreo_5861",0.109213173438942,435,FALSE
"merchant_Berlei_7191",0.108844729991296,436,FALSE
"merchant_Avo_Beauty_5880",0.108609022589998,437,FALSE
"merchant_Oneskin_5342",0.108500928157126,438,FALSE
"merchant_HMejia_9021",0.108438614899694,439,FALSE
